COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 
Ellemeet's Agave 		 Agave ellemeetiana "Satina' 		 Spineless type with broad, soft leaves. Rosettes to 2' h x 3' w. Sun at coast, part sun inland; low water, well-drained soil. Zones 10-12. 		 AgavElleSat 		 2' h x 3' w, spineless 		 

Yellow Hoodie Aloe 		 Aloe capitata 'Yellow Hoodie' 		 Long, narrow leaves with reddish teeth and a bright yellow cap on the flower stalk. Sun to part sun, low water, well-drained soil. Zones 9b-11. 		 AloeCapYlo 		 mid-size aloe, 1-2' h" 		 

Arabian Aloe 		 Aloe rubro violacea 'Violet' 		 2' rosettes of thick blue-green leaves that tint pink in winter. Clumps up to 3' h x 6' w. Sun to part sun, low water, well-drained soil. Zones 9-11. 		 AloeRubVio 		 clumps 3' h x 6' w"""" 		 

Aquarius Echeveria 		 Echeveria gibbiflora 'Aquarius' 		 Blue-green frilled rosettes with some pink margins. Prefers sun, low water, well-drained soil. Zones 9b-11. 		 EcheGibAqua 		 rosettes 8" wide"""" 		 

Mauna Loa Echeveria 		 Echeveria gibbiflora v. "Mauna Loa' 		 Blue-green frilled leaves with dark lava-red accents form large rosettes up to 2'. Prfers sun, low water, well-drained soil. Zones 9b-11. 		 EcheGibMLoa 		 large rosettes to 2'"" 		 

Nova Agave 		 Agave celsii 'Nova' 		 Broad blue-gray leaves form a single rosette up to 2' h x 3' w. Tiny reddish teeth. Prefers sun, low water, well-drained soil. Zones 9-11. 		 AgavCelNova 		 rosettes 2' h x 3'"""" 		 

White Ice Agave 		 Agave titanota 'White Ice 		 Broad whitish leaves with strong leaf imprints and brown teeth and tips. Grows to 2-3' h x w.  Sun, low water, well drained soil.  Zones 9-11 		 AgavTitWI 		 2-3' h x w"""" 		 

Lime Streak Agave 		 Agave parryi v. truncata 'Lime Streak' 		 Green leaves with lime and cream margins and stripes. Rosettes to 1-2' h x 2-3' w. Sun to part shade, low water, well drained soil. Zones 8-11 		 AgavParLS 		 rosettes1-2' h x 3' w" 		 

Boutin Blue Agave 		 Agave attenuata 'Boutin Blue' 		 Soft blue-grey recurving spineless leaves.  Grows to 3-4' h x w.  Sun, low water, well drained soil.  Zones 10-12 		 AgavAttnBB 		 3-4' h x w spineless"" 		 

Twin-flowered Agave 		 Agave geminiflora 		 Very narrow leaves create a sea urchin-like appearance. Rounded rosette to 2-3' h x w.  Sun, low to moderate water, well drained soil.  Zones 9b-11 		 AgavGem 		 2-3 h x w narrow leaf" 		 

Agave hybrid 'Little Penguins' 		 Little Penguins Agave 		 Clump forming agave has blue leaves with black tips.  Resembles a flock of Penguins.  Sun, low water, well-drained soil.  Zones 8-11 		 AgavHybLP 		 clumping blue/black""" 		 

Jewel Desert Rose Quartz Ice Plant 		 Delosperma cooperi 'Jewel of Desert 'Rose Quartz' 		 Patented. Propagation prohibited. Low-growing succulent. Profuse light pink flowers. Sun; low water, well-drained soil. Zones 4-10. 		 DelRoseQtz 		 4'-6'h x 8"w. roseqtz" 		 

Ox Tongue Hybrid 		 Gasteria x 		 Assortment of colors and textures. Prefers bright light but NOT full sun, low water, well-drained soil. Good houseplant or outdoors in protected area. Zones 10-12. 		 GastHyb 		 various sizes & colors 		 

Ox Tongue Hybrid 		 Gasteria x 		 Assortment of colors and textures. Prefers bright light but NOT full sun, low water, well-drained soil. Good houseplant or outdoors in protected area. Zones 10-12. 		 GastHyb 		 various sizes & colors 		 

WOW Hot Pink Wonder Ice Plant 		 Delosperma nubrigenum 'WOW Hot Pink Wonder' 		 Patented, propagation prohibited. Low-growing succulent. Profuse hot pink flowers. Sun, low water, well-drained soil. Zones 4-10. 		 DelHotPink 		 4'-6'h x 8"w. hot pink 		 

Jewel of the Desert Ruby Ice Plant 		 Delosperma cooperi 'Jewel of the Desert Ruby' 		 Patented, propagation prohibited. Low-growing succulent. Profuse ruby flowers. Sun, low water, well-drained soil. Zones 4-10. 		 DelRuby 		 4''-6' h x 8"w2. ruby" 		 

Mounding Marjoram 		 Origanum cv. 'Mounding Marjoram 		 Hardy groundcover to 3" tall. Green with magenta flowers. Mow if it gets too tall. Zones 6-11. 		 OrigMndMarj 		 3" tall, magenta flwer 		 

Giant Catmint 		 Nepeta grandiflora 		 Evergreen, prolific bloomer, deep blue flowers, 2'-3' tall. Full sun, low water. Zones 4-11. 		 NepGrandi 		 2'-3' h, prolific flwr 		 

Gorizia Rosemary 		 Rosmarinus off. 'Gorizia' 		 4'-5' tall, columnar growth. Pinkish blue flowers, leaves and flowers twice as big as other rosemarys. Full sun, well-drained soil, low water. Zones 7-11. 		 RomGorizia 		 4'-5' h, pink/blue flw 		 

Creeping Pink Thyme 		 Thymus praecox articus 'Creeping Pink Thyme' 		 Flat green groundcover with really purple flowers, almost succulent leaves. 1/2" - 1" h. Full sun, low water,  Zone 5. 		 ThymCrePink 		 1/2" - 1" h, purple""" 		 

Fire Dancer Autumn Sage 		 Salvia Suncrest 'Fire Dancer' 		 Patent Protected, propagation prohibited. Large coral colored flowers, sturdy attractively scented foliage; drought and heat tolerant. Zone 7 		 SalSunFD 		 12" x 12" coral flwr"" 		 

Straw Flower 		 Helichrysum amorginum 'Ruby Cluster' 		 2" clusters of ruby buds open to starlike white flwrs w/yellow centers.  Nice silver foliage provides year round attraction. Zone 8 		 HelCryRC 		 8" x 16""""" 		 

Hebe 'Blue Mist' 		 Hebe 'Blue Mist' 		 Classic cold hardy garden Hebe.  3" long spikes of flowers open, fading to baby blue June to frost. Shiny green leaves with blk stems;  Zone 8 		 HebeBM 		 2' x 2'"""" 		 

'Celestial Twilight' Viola 		 Viola xhybrida 'Celestial Twilight' 		 Vibrant sunshine faces blushed with mauve and orange tones.  Dark Green foliage mounding to a compact 8" x 14"  prolific bloomer and cold tolerant; zone 5 		 VioCelTwi 		 8" x !4""""" 		 

Bugleweed 		 Ajuga reptans 'Catlin's Giant' 		 Vigorous mounds of bronzy-red spinach like leaves; spikes of blue flowers in Spring; tolerates poor soils and part shade, brief drought; divide in Spring or Fall, Zone 3 		 AjuCatGia 		 10" x 20" h x w"""" 		 

Tutti Frutti Pomegranate Achillea 		 Achillea Pomegranate 		 Compact and bushy variety.  Uniform flowering of pomegrante red blooms that hold color over a long season. Great for cut flowers; Zone 4 		 AchPom 		 20" x 20" h x w"""" 		 

Blue Fox Tail Agave 		 Agave attenuata 'Nova' 		 A rosette agave forming clusters 4'-5' high and 8'-10' wide.  A much bluer selection than straight attenuata from the Huntington botanical garden. Zone 9b to 25 degrees 		 AgaAttNov 		 4' x 8' h x w"""" 		 

Samantha Lantana 		 Lantana camara 'Samantha' 		 Brilliant yellow flowers atop a mound of brightly variegated yellow and green foliage.  A nice heat tolerant butterfly and hummingbird attractor. Zone 9 		 LanCamSam 		 14" x 26" h x w"""" 		 

"""" 		 

"""" 		 

"""" 		 

"""" 		 

"""" 		 

Blue Gem Coast Rosemary 		 Westringia 'Blue Gem' 		 A nice compact shrub, with bluish purple flowers in profusion in the spring and lasing quite a while.  Drought tolerant, full sun to part shade. Zone 8b 		 WesBluGem 		 4' x 4' h x w"""" 		 

Tentacle Agave 		 Agave villmoriniana 'Tentacles' 		 Long bluish leaves without the sharp painful points on the end.  Produces a 10'-12' flower spike after several years from which little plantlets drop. Zone 7. 		 AgaVilTen 		 4' x 6' h x w"""" 		 

Kannah Creek Buckwheat 		 Erioganum umbellatum aureum 'Kannah Creek' 		 A western Colorado native great for dry gardens.  Foliage red and purple in fall and winter, yellow flowers spring to summer turning to orange. Zone 3 		 EriUmbKan 		 14" x 20"  h x w"""" 		 

Crystal Pink stonecrop 		 Sedum 'Crystal Pink' 		 Nice icy pink flower heads on low stems make this sedum attractive for mass plantings.  Blooms late summer to fall. Well drained mineral soil, drought tolerant.  Zone 3 		 SedCryPin 		 12" x 16" h x w"""" 		 

Yellow Leaved Calamus 		 Acorus 'Ogon' 		 Grasslike with thin with nicely variegated iris like foliage. Useful for brightening up dark areas or in container planting.  Well drained soil. moderate water.  Zone 5 		 AcograOgo 		 10" x 12" h x w"""" 		 

"""" 		 

Carex 'Silver Scepter' 		 Carex morrowii 'Silver Scepter' 		 A showy clump forming cares with narrow white edged leaves.  Spreads by rhizomes; drought tolerant when established, works well to brighten darker areas Zone 5 		 CarSilSce 		 12" x 18" h x w"""" 		 

Gold Strike Rush 		 Juncas effusus 'Gold Strike' 		 Great looking yellow and green stripes running the length of each blade.  Deer resistant, prefering sun to part shade, Very drought tolerant when established.  Zone 5 		 JunEffGol 		 2' x 3' h x w"""" 		 

"""" 		 

Cranesbill 'Cambridge Blue' 		 Geranium cantibrigiense 'Cambridge Blue' 		 Dense spreading evergreen groundcover producing mauve floweres tinged with pink in spring and summer.  Butterfly attractant, full sun to light shade. Zone 5 		 GerCamBlu 		 8" x 3' to 5' h x w""" 		 

"""" 		 

"""" 		 

Hebe 'Coed' 		 Hebe 'Coed' 		 Dependable hedge foundation shrub, 3-5 feet in height.  Bright green leaves complemented by reddish purple blooms spring through summer.  Zone 7 		 HebCoe 		 4' x 4' h x w"""" 		 

"""" 		 

Brazilian Blue Sage 		 Salvia guaranitica 'Black and Blue' 		 Nice perennial sage, woody bottom with herbaceous branching. Dark green leaves complemented with 10" to 15" long flower spikes. Some water/part shade in hot climes. Zone8 		 SalguaBlk 		 4' x 4' h x w"""" 		 

Cordyline 'Renegade' 		 Cordyline banksii 'Renegade' 		 Purple black foliage with a glossy finish characterize this tightly clumping nice looking cordyline. Fragrant pale white flowers in summer.  Zone 8 		 CorRen 		 3" x 3" h x w"""" 		 

Violet Queen Echeveria 		 Echeveria 'Violet Queen' 		 Pale silvery foliage with a touch of violet on the leaf edges.  Will spread to 8".  Frost tender, nice yellow flower spike in summer.  Zone 9 		 EchVioQue 		 4" x 8" h x w"""" 		 

"""" 		 

October Glory Maple 		 Acer rubrum 'October Glory' 		 Red maple adapted to mild winter and hot summers. Deep red to reddish purple fall color.  Summer foliage is glossy medium green.  Zone 5 		 AceOctGlo 		 40' x 35' h x w"""" 		 

"""" 		 

Fire Dragon Hen and Chicks 		 Sempervivum calcareum 'Fire Dragon' 		 A stunning sempervivum, silvery blue leaves tinged with bright crimson.  Pink flowers in late spring and early summer if blooming.  Zone 3 		 SemFirDra 		 4" diameter"""" 		 

Jely Bean Lemon Monkey Flower 		 Mimulus 'Jelly Bean Lemon'  PPAF 		 Small shrub with rounds uprigth habit to 1.5' - 2'.  Dark green glossy leaves with pure lemon yellow flowers year round in coastal gardens.  Zone 8b. 		 MimJelLem 		 2' x 2'  h x w"""" 		 

"""" 		 

Blackout Coral Bells 		 Heuchera 'Blackout' 		 Tight compact mound of almost jet black glossy leaves.  Foliage is contrasted with cream colored bell shaped flowers.  Zone 4 		 HeuBlkOut 		 8" x 14" h x w"""" 		 

Azure Rush Cranesbill 		 Geranium 'Azure Rush' 		 A comp[act sport of 'Roxanne' with 3" azure blue flowers.  A great border plant and works well in high heat with a little shade.  Zone 5 		 GerAzuRus 		 15" x 26"  h x w"""" 		 

Spoon yucca 		 Dasylirion wheeleri 		 Long lived evergreen plant with long strap shaped leaves of blue-grey color. Flowers infrequently but spikes to 15' when it does.  Zone 7 		 DasWhe 		 5' x 4' h x w"""" 		 

Queen of the Nile Agapanthus 		 Agapanthus 'Queen of the Nile' 		 Nice perennial with variegated leaves of cream and dark green to 12".  Summer produces a 30" flower spike of lavender flowers with a dark blue stripe. Zone 9 		 AgaQueNil 		 18" x 30" h x w"""" 		 

Fire Dragon Sempervivum 		 Sempervivum tectorum v. calcareum 'Fire Dragon' 		 A nice variety, bright green rosettes tinged with deep red.  Pink flowers when it blooms Zone 3 		 SemCalFire 		 4""""" 		 

Hopewell Sempervivum 		 Sempervivum 'Hopewell' 		 Loose large sets leaves formin bright green rosettes.  Great for borders or containers.  Zone 4 		 SemHope 		 4" - 6""""" 		 

Bressingham's Thyme 		 Thymus praecox 'Bressingham' 		 Wooley green leaves with delivate pink flowers.  Great for use in walkways and between stones.  Medicial and culinary uses. Zone 4 		 ThyPraBre 		 4" x 18" h x w"""" 		 

Amur Sedum 		 """" 		 

"""" 		 

"""" 		 

Amur Sedum 		 Sedum selskianum 		 Agreat littel creeping sedum from the Amur River region.  Flat scalloped leaves on red stems, great for rock gardens.  Full sun/part shade.  Zone 6 		 SedSel 		 4" x 12"  h x w"""" 		 

Italian Oregano 		 Origanum vulgare 		 Upright Oregano, Common culinary herb in Italian dishes. Good for poor, rocky soil. Sun/Part Shade Zone 4 		 OreVul 		 14" x 36" h x w"""" 		 

Highland Cream Thyme 		 Thymus praecox 'Highland Cream' 		 Creeping Thyme with variegated edges and soft pink blooms. Can tolerate moderate foot traffic as well as deer resistant. Zone 4 		 ThyHigCre 		 4" x 12" h x w"""" 		 

Mexican Grass Tree 		 Dasylirion longissimum 		 Native to northeastern Mexico, 4' to 6' glaucus-green leaves radiating symetrically from a central stalk.  Up to 9' flower spike in summer Zone 5 		 DasLon 		 6'-15' x 4'-6' h x w"" 		 

TasRed Flax Lily 		 Dianella tasmanica 		 Green foliage w/red base more acute in winter fading to green in summer. Blue flowers on red stems followed by purple berries.  Zone 7 		 DiaTasRed 		 18" - 24" clumping"""" 		 

Red Tiger Flowering Maple 		 Abutilon x h 'Red Tiger' 		 Striking yellow flowers with scarlet veining define this cultivar.  Flowers have the appearance of hanging lanterns, foliage deeply lobed. Zone 8 		 AbuRedLan 		 6" x 4" h x w"""" 		 

Chocolate Drop Stonecrop 		 Sedum 'Chocolate Drop' 		 Mounding sedum with scalloped dark chocolate brown leaves with soft pink flowers. Zone 4 		 SedChoDro 		 10" x 10 " h x w"""" 		 

Donkey Ears 		 Kalanchoe gastonis-bonnieri 		 Succulent grey-green leaves splotched with maroon-brown blotches. Often have small plantlets develop at leaf margins. Zone 10 		 KalGasBon 		 12"-18" h x w"""" 		 

Spider Aloe 		 Aloe humilis 		 Succulent blue clustering rosettes with densely tuberculated leaves. Twelve inch tall red-orange bloom spikes late winter. Zone 9 		 AloHum 		 6"-8" h x w"""" 		 

"""" 		 

Ivanhoe Grevillea 		 Grevillea x 'Ivanhoe' 		 Ornamental shrub with ferm like foliage. Red-Pink toothbrush flowers winter-summer. Drought and frost tolerant Zone 9 		 GreIva 		 8" - 10" h x w"""" 		 

Southern Splendor Grass Palm 		 Cordyline australis 'Southern Splendor' 		 multiheaded upright subtropical palm-like tree. Arching sword like green with pink margin leaves. Zone 8 		 CorSouSpl 		 12"- 8" h x w"""" 		 

Hawaiian Ti 		 Cordyline fruticosa 'Kiwi' 		 Broad leaf evergreen shrub with strap like dark green leaves that can have pink, red, yellow, variegated stripes Zone 10 		 CorKiw 		 6" x 3" h x w"""" 		 

Paradise Grass Palm 		 Cordyline australis 'Paradise' 		 Upright multiheaded palm like subtropical tree. Swordlike salmon leaves with bronze margins Zone 9 		 CorPar 		 20" x 12' h x w"""" 		 

"""" 		 

"""" 		 

"""" 		 

"""" 		 

"""" 		 

Bandera Purple Lavender 		 Lavandula stoechas 'Bandera Purple' 		 Compact and medium habit Spanish Lavander. Long bloom period and self cleaning Zone 7 		 LavBanPur 		 8" x 12" h x w"""" 		 

Creeping Betony 		 Stachys densiflora 'Alba' 		 Deep green serrated leaves. Excellent ground cover or border plant with 4" flower spikes blooming white Zone 4 		 StaDenAlb 		 4" x 18" h x w"""" 		 

False Scilla 		 Ledebouria cooperi 		 Glossy green sword like leaves with purple longitudnal stripes. South African bulb with bright pink flowers Zone 7 		 LedCoo 		 3"x 6" h x w"""" 		 

Cliff Maids 		 Lewisia cotyledon "Elsie' 		 Hardy succulent native to the mountains of N California and S Oregon. Pastel pinks, salmon, rose and whites Zone 3 		 LewCotEls 		 3" x 6" h x w"""" 		 

Stonecrop 		 Sedum album 'Black Pearl' 		 Creeping bronze-purple leaf succulent, holds its color well into summer when white flowers open. Zone 4 		 SedBlaPea 		 3" x 12" h x w"""" 		 

Dwarf Liliy of the Nile 		 Agapanthus 'Peter Pan' 		 Dwarf agapanthus with leaves to 12" and flower spike to 18".  Good for cut flowers.  Full sun to part shade.  Water in spring and summer  Zone 9 		 AgaPetPan 		 12" x 20" H x w"""" 		 

Arizona Red Shades Blanket Flower 		 Gaillardia aristata 'Arizona Red Shades' 		 A shoprter compact uniform variety with brilliant crimson flowers, some tinged with yellow. Good for poor soils and hot dry sun. 		 GaiAriRed 		 12" x 12" h x w"""" 		 

Love and Wishes Sage 		 Salvia 'Love and Wishes' 		 Brilliant purple flowers conver a bush of tough green foliage.  Blooms year round in the absence of frost without deadheading. Good cut flower Zone 9 		 SalLovWis 		 3' x 3' h x w"""" 		 

Purple Majesty Sage 		 Salvia 'Purple Majesty' 		 A large semi shrubby variety with ovate dark green leaves.  10" deep purple flower spikes, late summer to early fall. Full sun coastside, part shade inland Zone 8 		 SalPurMaj 		 4' x 4' h x w"""" 		 

Arizona Apricot Blanket Flower 		 Gaillardia aristata 'Arizona Apricot' 		 Compact mound of uniform foliage is covered with 3" flowers, apricot petals with darker orange centers from summer through fall. Zone 3 		 GaiAriApr 		 12" x 12" h x w"""" 		 

Mango Popsicle Dwarf Poker 		 Kniphofia 'Mango Popsicle' 		 Brilliant mango-orange flower spikes bloom late spring through fall on short grassy foliage.  Excellent bee and hummer attracter.  Zone 5 		 KniManPop 		 18" x 12" h x w"""" 		 

Myrtle Spurge 		 Euphorbia myrsinites 		 Attacactive low growing succulent evergreen perennial w/spirally arranged triangular leaves on short 6" stems.  Well drained soil, heat and cold tolerant. Zone 3 		 EupMyr 		 10" x 18" h x w"""" 		 

"""" 		 

"""" 		 

"""" 		 

"""" 		 

"""" 		 

Lavance Purple Lavander 		 Lavandula angustifolia 'Lavance Purple' 		 Compact plants with rich deep purple bloom spikes. Uniform bloomer Zone 5 		 LavLavPur 		 10" x 12" h x w"""" 		 

W.O.W White Wonder Ice Plant 		 Delosperma nubigenum 'Wheels of Wonder White Wonder 		 Succulent groundcover with large clear white blooms with buttery yellow centers  Zone 5 		 DelWhiWon 		 6" x  24" h x w"""" 		 

Starlette Pinks 		 Dianthus 'Starlette' 		 Masses of fragrant double raspberry blooms carried on sturdy stems. Repeat bloomer with low mounding habit Zone 5 		 DiaSta 		 6" x 10" h x w"""" 		 

"""" 		 

"""" 		 

"""" 		 

Red Rooster Sedge 		 Carex buchananii 'Red Rooster' 		 Long upright leaves in a tight clump. Reddish cast on copper brown leaves Zone 7 		 CarRedRoo 		 20" x  20""""" 		 
